Name;erstwahl;zweitwahl;drittwahl
Henry_Love;4;12;30
Margret_Miller;4;12;30
Debbie_Victor;4;8;12
Edwin_Mero;4;30;44
Paul_Farnan;13;44;11
Ira_Burton;4;13;30
Wanda_Ladner;4;12;44
Carlos_Gruis;12;30;8
Janet_Ley;4;12;44
Tim_Ratliff;4;8;30
Elaine_Stoltz;4;12;44
John_Roof;4;8;12
Joyce_Mack;4;12;44
Phillip_Graves;12;6;4
Joseph_Thompson;12;4;8
Jeffrey_Hannah;4;6;11
Robert_Mullins;4;12;13
Theresa_Dieball;4;30;8
Mary_Dray;4;12;30
Stacie_Glatt;13;8;6
Philip_Clark;4;12;44
Evelyn_Smith;4;30;44
Corey_Phillips;4;12;6
Debbie_Gardner;13;44;11
Troy_Lindeman;4;12;6
Keith_Rosson;4;13;8
Sharron_Monterroso;4;30;44
Virginia_Faris;4;12;13
Robert_Grubb;12;4;6
Jeremy_Bodnar;4;12;6
Harold_Allen;4;30;8
Irma_Ransom;30;4;12
Christopher_Fundora;4;13;12
Paula_Bemrose;4;13;6
Joseph_Vidal;30;12;9
Gerald_Markley;11;2;4
Sharon_Seamans;13;30;8
Donna_Gardner;2;8;30
Stephen_Wise;4;12;11
Clara_Brown;4;12;44
Linda_Smith;6;4;12
James_Hall;4;2;12
Sarah_Wohlrab;6;4;12
Margret_Perez;13;30;8
Alyssa_Yates;4;12;6
Guy_Rice;4;13;12
Stephanie_Pyle;30;12;9
Joy_Leach;11;6;4
Kathleen_Flesher;4;12;6
David_Wilson;4;12;6
Andrew_Johnson;8;11;13
Penelope_Hoffman;4;11;8
Frank_Bryan;4;6;11
Billy_Knox;4;12;44
James_Womack;4;13;8
Maria_Zimmerman;4;12;6
Gabriel_Martin;11;2;13
Carol_Shipp;13;8;44
Judith_Thurman;13;12;11
Connie_Kaiser;13;30;8
Daniel_Richmond;13;8;44
Deshawn_Musselman;30;44;8
Odessa_Leyva;13;12;11
Lee_Curtin;13;11;2
Stephanie_Eberhart;13;8;12
Paul_Pesce;13;2;8
William_Harper;13;11;44
Elida_Bowie;8;13;44
Mabel_Wessner;4;6;12
Mark_Timinsky;13;12;11
Juli_Vaughn;4;12;8
Phyllis_Sharkey;6;12;4
Michael_Johnson;30;44;8
Carol_Drewry;12;4;6
Albert_Colbeth;13;30;8
Mary_Mclean;13;30;8
Rachel_Fraiser;13;2;8
Diane_Mattos;13;12;11
Lois_Kenny;11;13;44
Paul_Zito;13;12;11
Georgia_Zook;4;11;6
James_Prouty;4;11;2
Rolando_Sandoval;4;2;12
Marcelina_Iacobelli;4;11;6
Naomi_Mcadams;4;12;2
Michele_Carson;2;8;31
Robert_Love;4;12;2
